,,,,,
 Date,Time,Reaction Time,Pressed Early,Type,
 ,,,,,
02/19/15,08:52:28,0.39500001,No,B,
02/19/15,08:52:30,0.70899999,No,B,
02/19/15,08:52:34,0.42300001,Yes,B,
02/19/15,08:52:41,0.37799999,No,T,
